7300203 ## 10-12 ## new guide: surname=Maria, name=Ionescu, role=ghid, age=45, email=maria.ionescu@domain.ro, school=Colegiul National, experience=10
7300203 ## 10-12 ## new member: surname=Alex, name=Popescu, role=vizitator, age=20, email=alex.popescu@example.com, school=Liceul National, studyYear=2
7300203 ## 10-12 ## new member: surname=Andrei, name=Dumitrescu, role=vizitator, age=22, email=andrei.dumitrescu@email.org, school=Colegiul Tehnic, studyYear=3
7300203 ## 10-12 ## new member: surname=Ioana, name=Georgescu, role=vizitator, age=38, email=null, school=Universitatea Politehnica, experience=5
7300203 ## 10-12 ## new member: surname=George, name=Stoica, role=vizitator, age=19, email=george.stoica@example.com, school=Liceul National, studyYear=1
7300203 ## 10-12 ## removed member: surname=Ioana, name=Georgescu, role=vizitator, age=38, email=null, school=Universitatea Politehnica, experience=5
7300203 ## 13-15 ## new guide: surname=Elena, name=Radu, role=ghid, age=50, email=elena.radu@domain.ro, school=Universitatea de Vest, experience=15
7300203 ## 13-15 ## new member: surname=Mihai, name=Nistor, role=vizitator, age=21, email=null, school=Liceul National, studyYear=3
7300203 ## 13-15 ## new member: surname=Ana, name=Marin, role=vizitator, age=40, email=ana.marin@email.org, school=Colegiul Pedagogic, experience=8
7300203 ## 13-15 ## new member: surname=Vlad, name=Diaconescu, role=vizitator, age=23, email=vlad.diaconescu@example.com, school=Universitatea de Vest, studyYear=4
7300203 ## 13-15 ## removed member: surname=Mihai, name=Nistor, role=vizitator, age=21, email=null, school=Liceul National, studyYear=3
